 Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1981,4,26,12,9,28.4,,,"CALIFORNIA:  WESTMORLAND,CALIPATRIA",33.133,-115.65,6,6,7,,,,,,,1.5,2,,,,,,,,,,,1.5,2,,,,
,1983,5,2,23,42,37.7,,,"CALIFORNIA:  CENTRAL, COALINGA",36.219,-120.317,10,6.2,8,,,,,45,1,31,4,500,3,,,,,,,45,1,31,4,500,3,,
,1983,7,12,15,10,3.4,,,ALASKA:  PRINCE WILLIAM SOUND,61.031,-147.286,37,6.1,6,,,,,,,1,2,,,,,,,,,,,1,2,,,,
,1983,10,28,14,6,6.5,,,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,14,7.3,9,2,1,,,2,1,12.5,3,,,,,2,1,,,2,1,12.5,3,,,,
,1983,11,16,16,13,0,,,HAWAII: KAPAPALA,19.43,-155.454,12,6.7,8,,,,,6,1,6.5,3,,,,,,,,,6,1,6.5,3,,,,
,1984,4,24,21,15,19,,,CALIFORNIA:  CENTRAL:  MORGAN HILL,37.32,-121.698,8,6.1,8,,,,,27,1,8,3,,,,,,,,,27,1,8,3,,,,
,1985,9,19,13,17,47.3,2162,,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533,28,8.1,9,9500,4,,,30000,4,4000,4,,4,,,9500,4,,,30000,4,4000,4,,4,,
,1986,7,8,9,20,44.5,,,CALIFORNIA:  PALM SPRINGS,34,-116.61,12,6,7,,,,,29,1,4.5,2,,,,,,,,,29,1,4.5,2,,,,
,1986,7,21,14,42,26.6,,,CALIFORNIA-NEVADA:  CHALFANT VALLEY,37.537,-118.447,9,6.2,6,,,,,,,1,2,,,,,,,,,,,1,2,,,,
,1987,10,1,14,42,20,,,CALIFORNIA:  WHITTIER,34.061,-118.078,10,5.7,8,8,1,,,200,3,358,4,,,,,8,1,,,200,3,358,4,,,,
,1987,11,24,1,54,14.5,,,CALIFORNIA:  SUPERSTITION HILLS,33.082,-115.775,5,6.2,6,2,1,,,,,3,2,,,,,2,1,,,,,3,2,,,,
,1989,10,18,0,4,15.2,2188,,CALIFORNIA:  LOMA PRIETA,37.036,-121.883,19,6.9,9,62,2,,,3757,4,5600,4,,3,,,62,2,,,3757,4,5600,4,,3,,
